"filename", "language", "TypeScript React", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "comment", "blank", "total"
"c:\Users\hamid\MyApp\.expo-shared\assets.json", "JSON", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\hamid\MyApp\App.js", "JavaScript", 0, 42, 0, 0, 0, 1, 10, 53
"c:\Users\hamid\MyApp\app.json", "JSON", 0, 0, 0, 0, 26, 43, 0, 69
"c:\Users\hamid\MyApp\assets\color\index.tsx", "TypeScript React", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\hamid\MyApp\babel.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\hamid\MyApp\components\EditScreenInfo.tsx", "TypeScript React", 72, 0, 0, 0, 0, 0, 8, 80
"c:\Users\hamid\MyApp\components\StyledText.tsx", "TypeScript React", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\hamid\MyApp\components\Themed.tsx", "TypeScript React", 31, 0, 0, 0, 0, 4, 11, 46
"c:\Users\hamid\MyApp\components\__tests__\StyledText-test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 4, 11
"c:\Users\hamid\MyApp\components\filter\index.tsx", "TypeScript React", 235, 0, 0, 0, 0, 0, 2, 237
"c:\Users\hamid\MyApp\components\introSlide\index.tsx", "TypeScript React", 311, 0, 0, 0, 0, 10, 12, 333
"c:\Users\hamid\MyApp\components\introSlide\index.type.tsx", "TypeScript React", 107, 0, 0, 0, 0, 0, 4, 111
"c:\Users\hamid\MyApp\components\introSlide\merge-extradata.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\hamid\MyApp\components\introSlide\merge-extradata.js", "JavaScript", 0, 21, 0, 0, 0, 4, 1, 26
"c:\Users\hamid\MyApp\components\progress.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\hamid\MyApp\components\slider\index.tsx", "TypeScript React", 266, 0, 0, 0, 0, 0, 10, 276
"c:\Users\hamid\MyApp\components\space\index.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\hamid\MyApp\components\toast\index.tsx", "TypeScript React", 26, 0, 0, 0, 0, 3, 6, 35
"c:\Users\hamid\MyApp\constants\Colors.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\hamid\MyApp\constants\Layout.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\hamid\MyApp\eas.json", "JSON", 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\hamid\MyApp\hooks\useCachedResources.ts", "TypeScript", 0, 0, 25, 0, 0, 3, 6, 34
"c:\Users\hamid\MyApp\hooks\useColorScheme.ts", "TypeScript", 0, 0, 4, 0, 0, 3, 2, 9
"c:\Users\hamid\MyApp\navigation\LinkingConfiguration.ts", "TypeScript", 0, 0, 27, 0, 0, 5, 5, 37
"c:\Users\hamid\MyApp\navigation\index.tsx", "TypeScript React", 354, 0, 0, 0, 0, 22, 45, 421
"c:\Users\hamid\MyApp\package-lock.json", "JSON", 0, 0, 0, 0, 29583, 0, 1, 29584
"c:\Users\hamid\MyApp\package.json", "JSON", 0, 0, 0, 0, 67, 0, 1, 68
"c:\Users\hamid\MyApp\screens\ModalScreen.tsx", "TypeScript React", 30, 0, 0, 0, 0, 1, 5, 36
"c:\Users\hamid\MyApp\screens\NotFoundScreen.tsx", "TypeScript React", 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\hamid\MyApp\screens\TabOneScreen.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\hamid\MyApp\screens\TabTwoScreen.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\hamid\MyApp\screens\code\CodeForgetScreen.tsx", "TypeScript React", 231, 0, 0, 0, 0, 0, 3, 234
"c:\Users\hamid\MyApp\screens\code\index.tsx", "TypeScript React", 287, 0, 0, 0, 0, 2, 6, 295
"c:\Users\hamid\MyApp\screens\detailPageTwo\index.tsx", "TypeScript React", 191, 0, 0, 0, 0, 15, 7, 213
